REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
sba/vent_sGain0_nGain-7.25_SNR12.375_beta9/s.wav	 sba/vent_sGain0_nGain-7.25_SNR12.375_beta9/west.wav	 3.703	 3.820	 16000	nb
sba/vent_sGain0_nGain-7.25_SNR12.375_beta9/s.wav	 sba/vent_sGain0_nGain-7.25_SNR12.375_beta9/prop.wav	 3.864	 4.010	 16000	nb
sba/vent_sGain0_nGain-1.25_SNR6.375_beta9/s.wav	 sba/vent_sGain0_nGain-1.25_SNR6.375_beta9/sn.wav	 3.356	 3.350	 16000	nb
sba/vent_sGain0_nGain-1.25_SNR6.375_beta9/s.wav	 sba/vent_sGain0_nGain-1.25_SNR6.375_beta9/west.wav	 3.373	 3.375	 16000	nb
sba/vent_sGain0_nGain-1.25_SNR6.375_beta9/s.wav	 sba/vent_sGain0_nGain-1.25_SNR6.375_beta9/prop.wav	 3.458	 3.496	 16000	nb
sba/vent_sGain0_nGain4.75_SNR0.37499_beta9/s.wav	 sba/vent_sGain0_nGain4.75_SNR0.37499_beta9/sn.wav	 2.833	 2.579	 16000	nb
sba/vent_sGain0_nGain4.75_SNR0.37499_beta9/s.wav	 sba/vent_sGain0_nGain4.75_SNR0.37499_beta9/west.wav	 2.942	 2.737	 16000	nb
sba/vent_sGain0_nGain4.75_SNR0.37499_beta9/s.wav	 sba/vent_sGain0_nGain4.75_SNR0.37499_beta9/prop.wav	 3.042	 2.885	 16000	nb
sba/vent_sGain0_nGain4.75_SNR0.37499_beta9/s.wav	 sba/vent_sGain0_nGain4.75_SNR0.37499_beta9/sn.wav	 2.833	 2.579	 16000	nb
sba/vent_sGain0_nGain4.75_SNR0.37499_beta9/s.wav	 sba/vent_sGain0_nGain4.75_SNR0.37499_beta9/west.wav	 2.942	 2.737	 16000	nb
sba/vent_sGain0_nGain4.75_SNR0.37499_beta9/s.wav	 sba/vent_sGain0_nGain4.75_SNR0.37499_beta9/prop.wav	 3.042	 2.885	 16000	nb
sba/vent_sGain6_nGain-1.25_SNR6.3599_beta9/s.wav	 sba/vent_sGain6_nGain-1.25_SNR6.3599_beta9/sn.wav	 3.059	 2.910	 16000	nb
sba/vent_sGain6_nGain-1.25_SNR6.3599_beta9/s.wav	 sba/vent_sGain6_nGain-1.25_SNR6.3599_beta9/west.wav	 3.159	 3.059	 16000	nb
sba/vent_sGain6_nGain-1.25_SNR6.3599_beta9/s.wav	 sba/vent_sGain6_nGain-1.25_SNR6.3599_beta9/prop.wav	 3.138	 3.029	 16000	nb
sba/vent_sGain6_nGain-7.25_SNR12.3599_beta9/s.wav	 sba/vent_sGain6_nGain-7.25_SNR12.3599_beta9/sn.wav	 3.287	 3.250	 16000	nb
sba/vent_sGain6_nGain-7.25_SNR12.3599_beta9/s.wav	 sba/vent_sGain6_nGain-7.25_SNR12.3599_beta9/west.wav	 3.416	 3.437	 16000	nb
sba/vent_sGain6_nGain-7.25_SNR12.3599_beta9/s.wav	 sba/vent_sGain6_nGain-7.25_SNR12.3599_beta9/prop.wav	 3.398	 3.411	 16000	nb

Här börjar tabellvärdena
Car
sba/car_sGain6_nGain7.75_SNR-0.0022354_beta1/s.wav	 sba/car_sGain6_nGain7.75_SNR-0.0022354_beta1/sn.wav	 2.126	 1.739	 16000	nb
sba/car_sGain6_nGain7.75_SNR-0.0022354_beta1/s.wav	 sba/car_sGain6_nGain7.75_SNR-0.0022354_beta1/west.wav	 2.579	 2.234	 16000	nb
sba/car_sGain6_nGain7.75_SNR-0.0022354_beta1/s.wav	 sba/car_sGain6_nGain7.75_SNR-0.0022354_beta1/prop.wav	 2.571	 2.223	 16000	nb
sba/car_sGain6_nGain7.75_SNR-0.0022354_beta3/s.wav	 sba/car_sGain6_nGain7.75_SNR-0.0022354_beta3/west.wav	 2.563	 2.213	 16000	nb
sba/car_sGain6_nGain7.75_SNR-0.0022354_beta3/s.wav	 sba/car_sGain6_nGain7.75_SNR-0.0022354_beta3/prop.wav	 2.568	 2.220	 16000	nb
sba/car_sGain6_nGain7.75_SNR-0.0022354_beta6/s.wav	 sba/car_sGain6_nGain7.75_SNR-0.0022354_beta6/west.wav	 2.535	 2.178	 16000	nb
sba/car_sGain6_nGain7.75_SNR-0.0022354_beta6/s.wav	 sba/car_sGain6_nGain7.75_SNR-0.0022354_beta6/prop.wav	 2.572	 2.225	 16000	nb
sba/car_sGain6_nGain7.75_SNR-0.0022354_beta9/s.wav	 sba/car_sGain6_nGain7.75_SNR-0.0022354_beta9/west.wav	 2.507	 2.144	 16000	nb
sba/car_sGain6_nGain7.75_SNR-0.0022354_beta9/s.wav	 sba/car_sGain6_nGain7.75_SNR-0.0022354_beta9/prop.wav	 2.572	 2.225	 16000	nb
sba/car_sGain6_nGain1.75_SNR5.9978_beta1/s.wav	 sba/car_sGain6_nGain1.75_SNR5.9978_beta1/sn.wav	 2.682	 2.369	 16000	nb
sba/car_sGain6_nGain1.75_SNR5.9978_beta1/s.wav	 sba/car_sGain6_nGain1.75_SNR5.9978_beta1/west.wav	 2.862	 2.620	 16000	nb
sba/car_sGain6_nGain1.75_SNR5.9978_beta1/s.wav	 sba/car_sGain6_nGain1.75_SNR5.9978_beta1/prop.wav	 2.852	 2.606	 16000	nb
sba/car_sGain6_nGain1.75_SNR5.9978_beta3/s.wav	 sba/car_sGain6_nGain1.75_SNR5.9978_beta3/west.wav	 2.858	 2.615	 16000	nb
sba/car_sGain6_nGain1.75_SNR5.9978_beta3/s.wav	 sba/car_sGain6_nGain1.75_SNR5.9978_beta3/prop.wav	 2.849	 2.602	 16000	nb
sba/car_sGain6_nGain1.75_SNR5.9978_beta6/s.wav	 sba/car_sGain6_nGain1.75_SNR5.9978_beta6/west.wav	 2.837	 2.584	 16000	nb
sba/car_sGain6_nGain1.75_SNR5.9978_beta6/s.wav	 sba/car_sGain6_nGain1.75_SNR5.9978_beta6/prop.wav	 2.851	 2.604	 16000	nb
sba/car_sGain6_nGain1.75_SNR5.9978_beta9/s.wav	 sba/car_sGain6_nGain1.75_SNR5.9978_beta9/west.wav	 2.817	 2.556	 16000	nb
sba/car_sGain6_nGain1.75_SNR5.9978_beta9/s.wav	 sba/car_sGain6_nGain1.75_SNR5.9978_beta9/prop.wav	 2.852	 2.606	 16000	nb
sba/car_sGain6_nGain-4.25_SNR11.9978_beta1/s.wav	 sba/car_sGain6_nGain-4.25_SNR11.9978_beta1/sn.wav	 2.960	 2.764	 16000	nb
sba/car_sGain6_nGain-4.25_SNR11.9978_beta1/s.wav	 sba/car_sGain6_nGain-4.25_SNR11.9978_beta1/west.wav	 3.068	 2.923	 16000	nb
sba/car_sGain6_nGain-4.25_SNR11.9978_beta1/s.wav	 sba/car_sGain6_nGain-4.25_SNR11.9978_beta1/prop.wav	 3.068	 2.924	 16000	nb
sba/car_sGain6_nGain-4.25_SNR11.9978_beta3/s.wav	 sba/car_sGain6_nGain-4.25_SNR11.9978_beta3/west.wav	 3.090	 2.957	 16000	nb
sba/car_sGain6_nGain-4.25_SNR11.9978_beta3/s.wav	 sba/car_sGain6_nGain-4.25_SNR11.9978_beta3/prop.wav	 3.069	 2.925	 16000	nb
sba/car_sGain6_nGain-4.25_SNR11.9978_beta6/s.wav	 sba/car_sGain6_nGain-4.25_SNR11.9978_beta6/west.wav	 3.087	 2.952	 16000	nb
sba/car_sGain6_nGain-4.25_SNR11.9978_beta6/s.wav	 sba/car_sGain6_nGain-4.25_SNR11.9978_beta6/prop.wav	 3.070	 2.926	 16000	nb
sba/car_sGain6_nGain-4.25_SNR11.9978_beta9/s.wav	 sba/car_sGain6_nGain-4.25_SNR11.9978_beta9/west.wav	 3.069	 2.926	 16000	nb
sba/car_sGain6_nGain-4.25_SNR11.9978_beta9/s.wav	 sba/car_sGain6_nGain-4.25_SNR11.9978_beta9/prop.wav	 3.070	 2.927	 16000	nb
sba/car_sGain6_nGain-10.25_SNR17.9978_beta1/s.wav	 sba/car_sGain6_nGain-10.25_SNR17.9978_beta1/sn.wav	 3.183	 3.096	 16000	nb
sba/car_sGain6_nGain-10.25_SNR17.9978_beta1/s.wav	 sba/car_sGain6_nGain-10.25_SNR17.9978_beta1/west.wav	 3.257	 3.204	 16000	nb
sba/car_sGain6_nGain-10.25_SNR17.9978_beta1/s.wav	 sba/car_sGain6_nGain-10.25_SNR17.9978_beta1/prop.wav	 3.295	 3.261	 16000	nb
sba/car_sGain6_nGain-10.25_SNR17.9978_beta3/s.wav	 sba/car_sGain6_nGain-10.25_SNR17.9978_beta3/west.wav	 3.294	 3.259	 16000	nb
sba/car_sGain6_nGain-10.25_SNR17.9978_beta3/s.wav	 sba/car_sGain6_nGain-10.25_SNR17.9978_beta3/prop.wav	 3.298	 3.266	 16000	nb
sba/car_sGain6_nGain-10.25_SNR17.9978_beta6/s.wav	 sba/car_sGain6_nGain-10.25_SNR17.9978_beta6/west.wav	 3.331	 3.314	 16000	nb
sba/car_sGain6_nGain-10.25_SNR17.9978_beta6/s.wav	 sba/car_sGain6_nGain-10.25_SNR17.9978_beta6/prop.wav	 3.299	 3.267	 16000	nb
sba/car_sGain6_nGain-10.25_SNR17.9978_beta9/s.wav	 sba/car_sGain6_nGain-10.25_SNR17.9978_beta9/west.wav	 3.332	 3.315	 16000	nb
sba/car_sGain6_nGain-10.25_SNR17.9978_beta9/s.wav	 sba/car_sGain6_nGain-10.25_SNR17.9978_beta9/prop.wav	 3.300	 3.269	 16000	nb
sba/car_sGain6_nGain-16.25_SNR23.9978_beta1/s.wav	 sba/car_sGain6_nGain-16.25_SNR23.9978_beta1/sn.wav	 3.423	 3.446	 16000	nb
sba/car_sGain6_nGain-16.25_SNR23.9978_beta1/s.wav	 sba/car_sGain6_nGain-16.25_SNR23.9978_beta1/west.wav	 3.493	 3.545	 16000	nb
sba/car_sGain6_nGain-16.25_SNR23.9978_beta1/s.wav	 sba/car_sGain6_nGain-16.25_SNR23.9978_beta1/prop.wav	 3.569	 3.647	 16000	nb
